Start!
Total samples: 205896
batch_size: 16
Epochs: 100
Epoch 1/100, Loss: 0.1082, Acc: 96.30%
Epoch 2/100, Loss: 0.0679, Acc: 97.61%
Epoch 3/100, Loss: 0.0581, Acc: 98.00%
Epoch 4/100, Loss: 0.0519, Acc: 98.17%
Epoch 5/100, Loss: 0.0472, Acc: 98.33%
Epoch 6/100, Loss: 0.0433, Acc: 98.45%
Epoch 7/100, Loss: 0.0404, Acc: 98.58%
Epoch 8/100, Loss: 0.0376, Acc: 98.64%
Epoch 9/100, Loss: 0.0348, Acc: 98.75%
Epoch 10/100, Loss: 0.0325, Acc: 98.83%
Epoch 11/100, Loss: 0.0303, Acc: 98.90%
Epoch 12/100, Loss: 0.0283, Acc: 98.98%
Epoch 13/100, Loss: 0.0259, Acc: 99.06%
Epoch 14/100, Loss: 0.0248, Acc: 99.08%
Epoch 15/100, Loss: 0.0238, Acc: 99.10%
Epoch 16/100, Loss: 0.0219, Acc: 99.20%
Epoch 17/100, Loss: 0.0212, Acc: 99.22%
Epoch 18/100, Loss: 0.0208, Acc: 99.26%
Epoch 19/100, Loss: 0.0197, Acc: 99.26%
Epoch 20/100, Loss: 0.0192, Acc: 99.28%
Epoch 21/100, Loss: 0.0173, Acc: 99.37%
Epoch 22/100, Loss: 0.0174, Acc: 99.37%
Epoch 23/100, Loss: 0.0174, Acc: 99.34%
Epoch 24/100, Loss: 0.0159, Acc: 99.40%
Epoch 25/100, Loss: 0.0163, Acc: 99.40%
Epoch 26/100, Loss: 0.0149, Acc: 99.44%
Epoch 27/100, Loss: 0.0150, Acc: 99.45%
Epoch 28/100, Loss: 0.0142, Acc: 99.47%
Epoch 29/100, Loss: 0.0136, Acc: 99.49%
Epoch 30/100, Loss: 0.0140, Acc: 99.48%
Epoch 31/100, Loss: 0.0131, Acc: 99.51%
Epoch 32/100, Loss: 0.0132, Acc: 99.54%
Epoch 33/100, Loss: 0.0130, Acc: 99.53%
Epoch 34/100, Loss: 0.0127, Acc: 99.53%
Epoch 35/100, Loss: 0.0122, Acc: 99.55%
Epoch 36/100, Loss: 0.0124, Acc: 99.54%
Epoch 37/100, Loss: 0.0121, Acc: 99.54%
Epoch 38/100, Loss: 0.0115, Acc: 99.57%
Epoch 39/100, Loss: 0.0113, Acc: 99.57%
Epoch 40/100, Loss: 0.0106, Acc: 99.60%
Epoch 41/100, Loss: 0.0114, Acc: 99.59%
Epoch 42/100, Loss: 0.0107, Acc: 99.61%
Epoch 43/100, Loss: 0.0108, Acc: 99.61%
Epoch 44/100, Loss: 0.0105, Acc: 99.61%
Epoch 45/100, Loss: 0.0102, Acc: 99.61%
Epoch 46/100, Loss: 0.0108, Acc: 99.61%
Epoch 47/100, Loss: 0.0100, Acc: 99.63%
Epoch 48/100, Loss: 0.0106, Acc: 99.62%
Epoch 49/100, Loss: 0.0092, Acc: 99.65%
Epoch 50/100, Loss: 0.0096, Acc: 99.65%
Epoch 51/100, Loss: 0.0094, Acc: 99.65%
Epoch 52/100, Loss: 0.0106, Acc: 99.61%
Epoch 53/100, Loss: 0.0089, Acc: 99.68%
Epoch 54/100, Loss: 0.0091, Acc: 99.67%
Epoch 55/100, Loss: 0.0087, Acc: 99.67%
Epoch 56/100, Loss: 0.0092, Acc: 99.67%
Epoch 57/100, Loss: 0.0096, Acc: 99.64%
Epoch 58/100, Loss: 0.0090, Acc: 99.67%
Epoch 59/100, Loss: 0.0086, Acc: 99.69%
Epoch 60/100, Loss: 0.0086, Acc: 99.69%
Epoch 61/100, Loss: 0.0088, Acc: 99.68%
Epoch 62/100, Loss: 0.0079, Acc: 99.72%
Epoch 63/100, Loss: 0.0087, Acc: 99.70%
Epoch 64/100, Loss: 0.0082, Acc: 99.69%
Epoch 65/100, Loss: 0.0101, Acc: 99.67%
Epoch 66/100, Loss: 0.0081, Acc: 99.71%
Epoch 67/100, Loss: 0.0089, Acc: 99.68%
Epoch 68/100, Loss: 0.0079, Acc: 99.71%
Epoch 69/100, Loss: 0.0079, Acc: 99.70%
Epoch 70/100, Loss: 0.0079, Acc: 99.72%
Epoch 71/100, Loss: 0.0081, Acc: 99.72%
Epoch 72/100, Loss: 0.0078, Acc: 99.72%
Epoch 73/100, Loss: 0.0076, Acc: 99.74%
Epoch 74/100, Loss: 0.0075, Acc: 99.72%
Epoch 75/100, Loss: 0.0072, Acc: 99.74%
Epoch 76/100, Loss: 0.0074, Acc: 99.73%
Epoch 77/100, Loss: 0.0078, Acc: 99.72%
Epoch 78/100, Loss: 0.0076, Acc: 99.74%
Epoch 79/100, Loss: 0.0085, Acc: 99.70%
Epoch 80/100, Loss: 0.0072, Acc: 99.73%
Epoch 81/100, Loss: 0.0070, Acc: 99.76%
Epoch 82/100, Loss: 0.0075, Acc: 99.73%
Epoch 83/100, Loss: 0.0072, Acc: 99.75%
Epoch 84/100, Loss: 0.0072, Acc: 99.75%
Epoch 85/100, Loss: 0.0070, Acc: 99.76%
Epoch 86/100, Loss: 0.0066, Acc: 99.77%
Epoch 87/100, Loss: 0.0072, Acc: 99.73%
Epoch 88/100, Loss: 0.0073, Acc: 99.74%
Epoch 89/100, Loss: 0.0069, Acc: 99.76%
Epoch 90/100, Loss: 0.0071, Acc: 99.75%
Epoch 91/100, Loss: 0.0071, Acc: 99.76%
Epoch 92/100, Loss: 0.0073, Acc: 99.76%
Epoch 93/100, Loss: 0.0063, Acc: 99.77%
Epoch 94/100, Loss: 0.0067, Acc: 99.77%
Epoch 95/100, Loss: 0.0072, Acc: 99.74%
Epoch 96/100, Loss: 0.0073, Acc: 99.75%
Epoch 97/100, Loss: 0.0065, Acc: 99.77%
Epoch 98/100, Loss: 0.0067, Acc: 99.76%
Epoch 99/100, Loss: 0.0062, Acc: 99.78%
Epoch 100/100, Loss: 0.0065, Acc: 99.77%
Best model saved with loss: 0.0062
Finish!
