Start!
Total samples: 80220
batch_size: 16
Epochs: 100
Epoch 1/100, Loss: 0.1782, Acc: 92.81%
Epoch 2/100, Loss: 0.1021, Acc: 96.27%
Epoch 3/100, Loss: 0.0848, Acc: 96.86%
Epoch 4/100, Loss: 0.0731, Acc: 97.28%
Epoch 5/100, Loss: 0.0664, Acc: 97.59%
Epoch 6/100, Loss: 0.0576, Acc: 97.88%
Epoch 7/100, Loss: 0.0533, Acc: 97.95%
Epoch 8/100, Loss: 0.0468, Acc: 98.19%
Epoch 9/100, Loss: 0.0424, Acc: 98.43%
Epoch 10/100, Loss: 0.0386, Acc: 98.54%
Epoch 11/100, Loss: 0.0350, Acc: 98.70%
Epoch 12/100, Loss: 0.0317, Acc: 98.82%
Epoch 13/100, Loss: 0.0300, Acc: 98.88%
Epoch 14/100, Loss: 0.0270, Acc: 98.96%
Epoch 15/100, Loss: 0.0246, Acc: 99.11%
Epoch 16/100, Loss: 0.0224, Acc: 99.17%
Epoch 17/100, Loss: 0.0213, Acc: 99.21%
Epoch 18/100, Loss: 0.0194, Acc: 99.32%
Epoch 19/100, Loss: 0.0194, Acc: 99.28%
Epoch 20/100, Loss: 0.0175, Acc: 99.34%
Epoch 21/100, Loss: 0.0165, Acc: 99.34%
Epoch 22/100, Loss: 0.0172, Acc: 99.38%
Epoch 23/100, Loss: 0.0157, Acc: 99.42%
Epoch 24/100, Loss: 0.0146, Acc: 99.48%
Epoch 25/100, Loss: 0.0147, Acc: 99.45%
Epoch 26/100, Loss: 0.0140, Acc: 99.50%
Epoch 27/100, Loss: 0.0149, Acc: 99.45%
Epoch 28/100, Loss: 0.0119, Acc: 99.57%
Epoch 29/100, Loss: 0.0131, Acc: 99.55%
Epoch 30/100, Loss: 0.0112, Acc: 99.58%
Epoch 31/100, Loss: 0.0131, Acc: 99.55%
Epoch 32/100, Loss: 0.0114, Acc: 99.59%
Epoch 33/100, Loss: 0.0111, Acc: 99.61%
Epoch 34/100, Loss: 0.0104, Acc: 99.58%
Epoch 35/100, Loss: 0.0095, Acc: 99.64%
Epoch 36/100, Loss: 0.0125, Acc: 99.52%
Epoch 37/100, Loss: 0.0096, Acc: 99.67%
Epoch 38/100, Loss: 0.0104, Acc: 99.59%
Epoch 39/100, Loss: 0.0090, Acc: 99.66%
Epoch 40/100, Loss: 0.0103, Acc: 99.62%
Epoch 41/100, Loss: 0.0087, Acc: 99.69%
Epoch 42/100, Loss: 0.0088, Acc: 99.70%
Epoch 43/100, Loss: 0.0091, Acc: 99.69%
Epoch 44/100, Loss: 0.0094, Acc: 99.66%
Epoch 45/100, Loss: 0.0085, Acc: 99.71%
Epoch 46/100, Loss: 0.0082, Acc: 99.70%
Epoch 47/100, Loss: 0.0082, Acc: 99.69%
Epoch 48/100, Loss: 0.0069, Acc: 99.76%
Epoch 49/100, Loss: 0.0091, Acc: 99.73%
Epoch 50/100, Loss: 0.0067, Acc: 99.74%
Epoch 51/100, Loss: 0.0094, Acc: 99.65%
Epoch 52/100, Loss: 0.0081, Acc: 99.69%
Epoch 53/100, Loss: 0.0072, Acc: 99.74%
Epoch 54/100, Loss: 0.0066, Acc: 99.77%
Epoch 55/100, Loss: 0.0078, Acc: 99.71%
Epoch 56/100, Loss: 0.0073, Acc: 99.74%
Epoch 57/100, Loss: 0.0073, Acc: 99.75%
Epoch 58/100, Loss: 0.0078, Acc: 99.71%
Epoch 59/100, Loss: 0.0064, Acc: 99.77%
Epoch 60/100, Loss: 0.0077, Acc: 99.72%
Epoch 61/100, Loss: 0.0065, Acc: 99.75%
Epoch 62/100, Loss: 0.0067, Acc: 99.76%
Epoch 63/100, Loss: 0.0068, Acc: 99.76%
Epoch 64/100, Loss: 0.0068, Acc: 99.74%
Epoch 65/100, Loss: 0.0059, Acc: 99.80%
Epoch 66/100, Loss: 0.0072, Acc: 99.74%
